[2020-10-22 16:39:41,638][Thread-4:140617682245376][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/actions.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:39:41,639][Thread-2:140618294617856][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/vendor/xregexp/xregexp.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:39:41,643][Thread-3:140617690638080][task_id:django.server][basehttp.py:154][INFO]["GET /admin/jsi18n/ HTTP/1.1" 200 7684]
[2020-10-22 16:39:46,127][Thread-3:140617690638080][task_id:django.server][basehttp.py:154][INFO]["POST /admin/django_apscheduler/djangojob/ HTTP/1.1" 302 0]
[2020-10-22 16:39:46,176][Thread-3:140617690638080][task_id:django.server][basehttp.py:154][INFO]["GET /admin/django_apscheduler/djangojob/ HTTP/1.1" 200 42349]
[2020-10-22 16:39:46,195][Thread-2:140618294617856][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/vendor/jquery/jquery.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:39:46,199][Thread-3:140617690638080][task_id:django.server][basehttp.py:154][INFO]["GET /admin/jsi18n/ HTTP/1.1" 200 7684]
[2020-10-22 16:39:46,213][Thread-2:140618294617856][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/actions.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:39:46,220][Thread-4:140617682245376][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/vendor/xregexp/xregexp.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:39:46,220][Thread-2:140618294617856][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/prepopulate.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:39:51,402][Thread-3:140617690638080][task_id:django.server][basehttp.py:154][INFO]["POST /admin/django_apscheduler/djangojob/ HTTP/1.1" 200 35737]
[2020-10-22 16:39:51,445][Thread-5:140617673852672][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/vendor/xregexp/xregexp.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:39:51,445][Thread-3:140617690638080][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/vendor/jquery/jquery.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:39:51,446][Thread-4:140617682245376][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/prepopulate.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:39:51,446][Thread-2:140618294617856][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/actions.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:39:52,838][Thread-2:140618294617856][task_id:django.server][basehttp.py:154][INFO]["POST /admin/django_apscheduler/djangojob/ HTTP/1.1" 302 0]
[2020-10-22 16:39:52,877][Thread-2:140618294617856][task_id:django.server][basehttp.py:154][INFO]["GET /admin/django_apscheduler/djangojob/ HTTP/1.1" 200 41904]
[2020-10-22 16:39:53,037][Thread-5:140617673852672][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/prepopulate.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:39:53,038][Thread-6:140617665459968][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/vendor/xregexp/xregexp.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:39:53,039][Thread-3:140617690638080][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/actions.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:39:53,039][Thread-4:140617682245376][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/vendor/jquery/jquery.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:39:53,044][Thread-2:140618294617856][task_id:django.server][basehttp.py:154][INFO]["GET /admin/jsi18n/ HTTP/1.1" 200 7684]
[2020-10-22 16:39:56,232][Thread-2:140618294617856][task_id:django.server][basehttp.py:154][INFO]["GET /admin/django_apscheduler/djangojob/ HTTP/1.1" 200 41598]
[2020-10-22 16:39:56,403][Thread-5:140617673852672][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/vendor/xregexp/xregexp.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:39:56,403][Thread-6:140617665459968][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/prepopulate.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:39:56,404][Thread-4:140617682245376][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/vendor/jquery/jquery.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:39:56,404][Thread-3:140617690638080][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/actions.min.js HTTP/1.1" 200 1500]
